category,headline,short_description,content
Entertainment,"The Ultimate Asheville, North Carolina, Road Trip Playlist","Here's what people in this gorgeous spot are jamming to, according to Spotify data.","The Ultimate Asheville, North Carolina, Road Trip Playlist Here's what people in this gorgeous spot are jamming to, according to Spotify data."
Politics,Senate Democrat Urges Obama To Ensure The CIA Torture Report Won't Disappear,Ron Wyden is worried the report could be destroyed under the Trump administration if it's not made a federal record.,Senate Democrat Urges Obama To Ensure The CIA Torture Report Won't Disappear Ron Wyden is worried the report could be destroyed under the Trump administration if it's not made a federal record.
Sports,"Sources: Competition Committee Agrees To Changes To Strike Zone, Intentional Walks",A new strike zone could be on baseball's horizon and the old-fashioned intentional walk could be a thing of the past after,"Sources: Competition Committee Agrees To Changes To Strike Zone, Intentional Walks A new strike zone could be on baseball's horizon and the old-fashioned intentional walk could be a thing of the past after"
Entertainment,Donald Trump As Michael Myers Makes For A Very Scary Halloween,Jamie Lee Curtis must *really* hate this guy.,Donald Trump As Michael Myers Makes For A Very Scary Halloween Jamie Lee Curtis must *really* hate this guy.
Business,Wells Fargo Just Made The Case For Elizabeth Warren’s Bank Agency,"The bank was scamming customers for years, until the CFPB put an end to it.","Wells Fargo Just Made The Case For Elizabeth Warren’s Bank Agency The bank was scamming customers for years, until the CFPB put an end to it."
Sports,"Triple H ""Not Happy"" With NXT! 205 Live Trouble Backstage In WWE! | WrestleTalk News Jan. 2017",,"Triple H ""Not Happy"" With NXT! 205 Live Trouble Backstage In WWE! | WrestleTalk News Jan. 2017 "
Tech,The Terrible Truth About How Your Gadgets Die,Our obsession with pretty devices has made them VERY hard to recycle.,The Terrible Truth About How Your Gadgets Die Our obsession with pretty devices has made them VERY hard to recycle.
Politics,HuffPost Rise: What You Need To Know On June 30,"Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day.","HuffPost Rise: What You Need To Know On June 30 Welcome to the HuffPost Rise Morning Newsbrief, a short wrap-up of the news to help you start your day."
Politics,George W. Bush Dances Up A Storm At His Nephew's Wedding,The former president let loose when he boogied with the bride.,George W. Bush Dances Up A Storm At His Nephew's Wedding The former president let loose when he boogied with the bride.
Entertainment,This Aggressive Ad For Trump's '90s Game Show Seems Just Like His Campaign,"""Now he wants to take over something new ..."" the ad reads. The game show lasted one season.","This Aggressive Ad For Trump's '90s Game Show Seems Just Like His Campaign ""Now he wants to take over something new ..."" the ad reads. The game show lasted one season."
Business,Theranos Responds At Length To Wall Street Journal Investigation,The blood-testing company says the Journal isn't telling the truth.,Theranos Responds At Length To Wall Street Journal Investigation The blood-testing company says the Journal isn't telling the truth.
Politics,"Nikki Haley Takes A Swipe At Marco Rubio, Saying He 'Believes In Amnesty'",With friends like these...,"Nikki Haley Takes A Swipe At Marco Rubio, Saying He 'Believes In Amnesty' With friends like these..."
Sports,Big Ten Network's Dave Revsine Talks College Football Then and Now,"Dave Revsine, the Big Ten Network's lead studio host, stopped by The Interview Show to talk about his book on the beginnings of college football, The Opening Kickoff -- and how the game has changed and remained the same since then.","Big Ten Network's Dave Revsine Talks College Football Then and Now Dave Revsine, the Big Ten Network's lead studio host, stopped by The Interview Show to talk about his book on the beginnings of college football, The Opening Kickoff -- and how the game has changed and remained the same since then."
Sports,The $ports Guy: The Making Of Darren Rovell,"Darren Rovell, just shy of 400,000 followers strong, does not exist on Twitter alone — his return to ESPN after six years","The $ports Guy: The Making Of Darren Rovell Darren Rovell, just shy of 400,000 followers strong, does not exist on Twitter alone — his return to ESPN after six years"
Tech,Terrible News: DSM-5 Refuses to Reduce Overdiagnosis of 'Somatic Symptom Disorder',The American Psychiatric Association has proven itself incompetent to produce a safe and scientifically sound diagnostic system. Psychiatric diagnosis has become too important in people's lives to be left in the hands of one small and insulated professional organization.,Terrible News: DSM-5 Refuses to Reduce Overdiagnosis of 'Somatic Symptom Disorder' The American Psychiatric Association has proven itself incompetent to produce a safe and scientifically sound diagnostic system. Psychiatric diagnosis has become too important in people's lives to be left in the hands of one small and insulated professional organization.
Tech,Genius Hack Shows How To Use Amazon Prime Now To Help The Homeless,A heartwarming video perfectly captures the spirit of the season.,Genius Hack Shows How To Use Amazon Prime Now To Help The Homeless A heartwarming video perfectly captures the spirit of the season.
Tech,Defcon 2012 Conference: Hackers To Meet With U.S. Spy Agency Chief,"The NSA plays both offense and defense in the cyber wars. It conducts electronic eavesdropping on adversaries, in addition","Defcon 2012 Conference: Hackers To Meet With U.S. Spy Agency Chief The NSA plays both offense and defense in the cyber wars. It conducts electronic eavesdropping on adversaries, in addition"
Politics,"Mike Pence's NFL Stunt Cost Police Department $14,000",Trump told Pence to leave the game if players knelt.,"Mike Pence's NFL Stunt Cost Police Department $14,000 Trump told Pence to leave the game if players knelt."
Politics,Trump Calls Comments About Obama Founding ISIS 'Sarcasm',It's just the latest offensive statement he's dismissed as a joke.,Trump Calls Comments About Obama Founding ISIS 'Sarcasm' It's just the latest offensive statement he's dismissed as a joke.
Sports,LIVE: McIlroy Tries To Seal The Deal At British Open,,LIVE: McIlroy Tries To Seal The Deal At British Open 
Politics,Trump Plan Pushes Muslim Republicans Toward Exit,Muslim Republicans fear Donald Trump’s escalating anti-Muslim rhetoric – capped this week by his call to block all Muslims,Trump Plan Pushes Muslim Republicans Toward Exit Muslim Republicans fear Donald Trump’s escalating anti-Muslim rhetoric – capped this week by his call to block all Muslims
Health,Weight,"This New Year's, let's draw needed attention to and appreciate the simplicity and significance of the weight of words. Let's gain control over our emotional waistlines and reflect on the words and sayings that weigh us down and lift us up.","Weight This New Year's, let's draw needed attention to and appreciate the simplicity and significance of the weight of words. Let's gain control over our emotional waistlines and reflect on the words and sayings that weigh us down and lift us up."
Business,Starbucks CEO Howard Schultz To Step Down,Chief operating officer Kevin Johnson will take Schultz's position.,Starbucks CEO Howard Schultz To Step Down Chief operating officer Kevin Johnson will take Schultz's position.
Business,Amazon Has Best-Ever Holiday Season As Traditional Retail Stays Lukewarm,Amazon sold enough men's jeans to fill an Olympic-sized swimming pool.,Amazon Has Best-Ever Holiday Season As Traditional Retail Stays Lukewarm Amazon sold enough men's jeans to fill an Olympic-sized swimming pool.
Health,5 Steps To Conquer Self-Deprecation,"I have something to say, and it's urgent. Disclaimer: the plethora of capitalized words that will appear in this piece are","5 Steps To Conquer Self-Deprecation I have something to say, and it's urgent. Disclaimer: the plethora of capitalized words that will appear in this piece are"
Health,5 Steps to Positive Life Change (and the Big Payoff!),"With the foundation for positive life change now in place, it's time to take action. Here are the five steps you must take to turn possibility and hope into real change.","5 Steps to Positive Life Change (and the Big Payoff!) With the foundation for positive life change now in place, it's time to take action. Here are the five steps you must take to turn possibility and hope into real change."
Health,What Your Earwax Says About You,"A new study suggests earwax is not the same between races, with some people having more odor-causing chemical compounds in","What Your Earwax Says About You A new study suggests earwax is not the same between races, with some people having more odor-causing chemical compounds in"
Sports,Brazil Judge Wants Answers From Ryan Lochte About Alleged Robbery,The judge ordered Lochte and a fellow swimmer to stay in Rio -- but Lochte had already left.,Brazil Judge Wants Answers From Ryan Lochte About Alleged Robbery The judge ordered Lochte and a fellow swimmer to stay in Rio -- but Lochte had already left.
Tech,"Here's What You Need To Know About Apple, FBI Showdown In D.C.",Lawmakers needled witnesses from both sides.,"Here's What You Need To Know About Apple, FBI Showdown In D.C. Lawmakers needled witnesses from both sides."
Entertainment,Defender of Texting and Driving Can't Be Serious,,Defender of Texting and Driving Can't Be Serious 
Business,Volunteering Surprisingly Makes You Feel Like You Have More Free Time,,Volunteering Surprisingly Makes You Feel Like You Have More Free Time 
Politics,25 Percent Of Federal Workers Might Quit If Donald Trump Becomes President,"Boom. Smaller government, just like that.","25 Percent Of Federal Workers Might Quit If Donald Trump Becomes President Boom. Smaller government, just like that."
Entertainment,This Week In Unnecessary Censorship (VIDEO),"Jimmy Kimmel closed out the first week of ""Jimmy Kimmel Live!"" in its new time slot the same way that he always has, with","This Week In Unnecessary Censorship (VIDEO) Jimmy Kimmel closed out the first week of ""Jimmy Kimmel Live!"" in its new time slot the same way that he always has, with"
Sports,Draymond Green Reportedly Arrested On Assault Charges,He was booked in his home state of Michigan.,Draymond Green Reportedly Arrested On Assault Charges He was booked in his home state of Michigan.
Health,Strength to Power,"For anyone to generate explosive power in their movements, whether it's in sports or through general physical conditioning, you must have strength.  Where does strength come from?  Strength stems from the ""core,"" which essentially starts from the feet all the way up to the head.","Strength to Power For anyone to generate explosive power in their movements, whether it's in sports or through general physical conditioning, you must have strength.  Where does strength come from?  Strength stems from the ""core,"" which essentially starts from the feet all the way up to the head."
Business,One In 5 American Kids Are On Food Stamps,"Here's more evidence that the economic recovery isn't benefitting the people who need it most: One in 5 American kids got food stamps in 2014, up from 1 in 8 before the recession.","One In 5 American Kids Are On Food Stamps Here's more evidence that the economic recovery isn't benefitting the people who need it most: One in 5 American kids got food stamps in 2014, up from 1 in 8 before the recession."
Entertainment,The 'Race To The Bottom' Has Only One Runner,The meme of both sides dragging the presidential campaign to new lows has taken hold across the media. This palpably absurd argument was being stated as the sad truth across the Sunday shows this morning.,The 'Race To The Bottom' Has Only One Runner The meme of both sides dragging the presidential campaign to new lows has taken hold across the media. This palpably absurd argument was being stated as the sad truth across the Sunday shows this morning.
Health,Faking Picasso,One of my favorite stories about the power of trusting the deeper intelligence behind the mind is of a consultant friend of mine who brought a new intern with him to a corporate mediation.,Faking Picasso One of my favorite stories about the power of trusting the deeper intelligence behind the mind is of a consultant friend of mine who brought a new intern with him to a corporate mediation.
Business,Women In Sales: Moving Beyond Outdated Thinking On Your Path To Success,"As more women advance in the workplace, it's becoming clear that corporations seeking to achieve a balanced leadership agenda are better off not trying to make women think and act like men.","Women In Sales: Moving Beyond Outdated Thinking On Your Path To Success As more women advance in the workplace, it's becoming clear that corporations seeking to achieve a balanced leadership agenda are better off not trying to make women think and act like men."
Politics,"Conservative Columnist Max Boot Looks At History, Concludes Trump Is Worst President Ever","""Trump cannot escape the pitiless judgment of history,"" writes Max Boot.","Conservative Columnist Max Boot Looks At History, Concludes Trump Is Worst President Ever ""Trump cannot escape the pitiless judgment of history,"" writes Max Boot."
Health,Cultivating the Undefeated Heart,"There's nothing like true stories of those who refuse to be defeated, despite the odds, to cure what ails you. Such stories transfix, restoring hope in transformation. This turn of events is available to every one of us willing to put in the sweat equity.","Cultivating the Undefeated Heart There's nothing like true stories of those who refuse to be defeated, despite the odds, to cure what ails you. Such stories transfix, restoring hope in transformation. This turn of events is available to every one of us willing to put in the sweat equity."
Tech,"Microsoft's Vague New Privacy Terms, Explained","You probably shouldn't pirate ""Halo"" anymore.","Microsoft's Vague New Privacy Terms, Explained You probably shouldn't pirate ""Halo"" anymore."
Sports,Reckless Indiferrence: Irresponsible Sports Writing Is Creating A Culture Of Sexism,Violence against women: we know it exists.,Reckless Indiferrence: Irresponsible Sports Writing Is Creating A Culture Of Sexism Violence against women: we know it exists.
Tech,Scientists Who Clearly Love 'Star Wars' Name Beetle After Chewbacca,"Trigonopterus chewbacca has some Wookiee characteristics, researchers say.","Scientists Who Clearly Love 'Star Wars' Name Beetle After Chewbacca Trigonopterus chewbacca has some Wookiee characteristics, researchers say."
Tech,Crash Shows Google's Driverless Car Has Room To Improve,Self-driving cars don't always react quickly to obstacles on the road.,Crash Shows Google's Driverless Car Has Room To Improve Self-driving cars don't always react quickly to obstacles on the road.
Entertainment,'Making A Murderer' Convicted Killer Steven Avery On Falling In Love From Prison,"Convicted killer Steven Avery’s new fiancée, Lynn Hartman, and, in a surprise phone call to her, Steven Avery himself, speak","'Making A Murderer' Convicted Killer Steven Avery On Falling In Love From Prison Convicted killer Steven Avery’s new fiancée, Lynn Hartman, and, in a surprise phone call to her, Steven Avery himself, speak"
Sports,Watch The Brazil-Chile Entire Penalty Shootout,,Watch The Brazil-Chile Entire Penalty Shootout 
Health,How To Be Happier At Work,"Happiness might be a state of mind. But it’s hard won in a cubicle -- or any job where you feel unappreciated, spread too","How To Be Happier At Work Happiness might be a state of mind. But it’s hard won in a cubicle -- or any job where you feel unappreciated, spread too"
Entertainment,"Kanye West And Donald Trump Made The Exact Same Speech, Bro",They're way more similar than you thought.,"Kanye West And Donald Trump Made The Exact Same Speech, Bro They're way more similar than you thought."
Entertainment,South Korea Lifts Travel Ban On Japanese Journalist Charged With Defaming President,,South Korea Lifts Travel Ban On Japanese Journalist Charged With Defaming President 
Politics,Tens Of Thousands Of Californians Are About To Get Their Voting Rights Restored,A settlement restoring voting rights to ex-offenders comes just two days before the anniversary of the Voting Rights Act.,Tens Of Thousands Of Californians Are About To Get Their Voting Rights Restored A settlement restoring voting rights to ex-offenders comes just two days before the anniversary of the Voting Rights Act.
Sports,REPORT: NFL Player Got Special Treatment After Domestic Violence Accusation,,REPORT: NFL Player Got Special Treatment After Domestic Violence Accusation 
Entertainment,Michael Sheen Considers Acting Less As A Response To Donald Trump (UPDATED),The actor plans to pursue political activism but walked back reports that he has decided to quit acting altogether.,Michael Sheen Considers Acting Less As A Response To Donald Trump (UPDATED) The actor plans to pursue political activism but walked back reports that he has decided to quit acting altogether.
Business,Wells Fargo Scandal A Setback To Lobbying Efforts By Big Banks,The case is sending shockwaves through the industry.,Wells Fargo Scandal A Setback To Lobbying Efforts By Big Banks The case is sending shockwaves through the industry.
Tech,Microsoft Is Going Into The Marijuana Business,Weed never looked so corporate.,Microsoft Is Going Into The Marijuana Business Weed never looked so corporate.
Health,Could A Health 'Score' On Food Packages Help You Eat Better?,"In addition, it's not clear how much front-of-package labels help consumers overall. In the study, the food labels did not","Could A Health 'Score' On Food Packages Help You Eat Better? In addition, it's not clear how much front-of-package labels help consumers overall. In the study, the food labels did not"
Health,"Big, Fat TRANSgression","In other words, the best diet for our health depends, as it ever has, not on replacing trans fat with any one oil from any one nut up any one tree; but on seeing the forest.","Big, Fat TRANSgression In other words, the best diet for our health depends, as it ever has, not on replacing trans fat with any one oil from any one nut up any one tree; but on seeing the forest."
Business,New Research Shows That We're Wired To Take The Path Of Least Resistance,We can't keep taking the easy way out.,New Research Shows That We're Wired To Take The Path Of Least Resistance We can't keep taking the easy way out.
Politics,This Great-Grandmother Has Been Volunteering For 73 Years -- And Doesn't Plan To Stop Anytime Soon,"Mary Bochanis, 92, is the Red Cross' longest-serving volunteer, but she still makes it home to catch her soaps.","This Great-Grandmother Has Been Volunteering For 73 Years -- And Doesn't Plan To Stop Anytime Soon Mary Bochanis, 92, is the Red Cross' longest-serving volunteer, but she still makes it home to catch her soaps."
Entertainment,Kate McKinnon's Last Stint On 'SNL' As Jeff Sessions Made Us Sad — Almost,“I don’t know what I did wrong. I put kids in cages and said 'no' to gays.”,Kate McKinnon's Last Stint On 'SNL' As Jeff Sessions Made Us Sad — Almost “I don’t know what I did wrong. I put kids in cages and said 'no' to gays.”
Politics,Supporters Flock To Humayun Khan's Gravesite At Arlington National Cemetery To Pay Respects,"People are leaving flowers, flags, gifts and notes.","Supporters Flock To Humayun Khan's Gravesite At Arlington National Cemetery To Pay Respects People are leaving flowers, flags, gifts and notes."
Tech,Facebook Employees Are Outraged About -- Wait For It -- Their Own Online Privacy,The company's reaction to a leaked internal memo shows a shocking lack of self-awareness.,Facebook Employees Are Outraged About -- Wait For It -- Their Own Online Privacy The company's reaction to a leaked internal memo shows a shocking lack of self-awareness.
Health,Making A Big Decision? Why You Should Take A (Quick) Pause Beforehand,"""Postponing the onset of the decision process by as little as 50 to 100 milliseconds enables the brain to focus attention","Making A Big Decision? Why You Should Take A (Quick) Pause Beforehand ""Postponing the onset of the decision process by as little as 50 to 100 milliseconds enables the brain to focus attention"
Health,Patton Oswalt: Why I Quit Twitter -- And Will Again,,Patton Oswalt: Why I Quit Twitter -- And Will Again 
Sports,"13 Things Duke Haters Absolutely Loved About Seeing Coach K's Team Flop In March, Again",Mercer's Coach Celebrated Late Touchdown Layup With This Leg Kick Then Mercer guard Kevin Canevari Did The NaeNae (GIF via,"13 Things Duke Haters Absolutely Loved About Seeing Coach K's Team Flop In March, Again Mercer's Coach Celebrated Late Touchdown Layup With This Leg Kick Then Mercer guard Kevin Canevari Did The NaeNae (GIF via"
Business,How My Iranian-Israeli Grandfather Helped Me Find My Career Path,"When I was asked, at five years old, I said an astronaut and a teacher. I imagine that no matter what I would have said at that age my parents would have smiled and told me I could do anything I set my mind to doing.","How My Iranian-Israeli Grandfather Helped Me Find My Career Path When I was asked, at five years old, I said an astronaut and a teacher. I imagine that no matter what I would have said at that age my parents would have smiled and told me I could do anything I set my mind to doing."
Sports,Ben Roethlisberger Isn't The Concussion 'Culture Change' The NFL Needs,"This week's ""The Second Half"" podcast talks NFL injuries and player self-diagnosis.","Ben Roethlisberger Isn't The Concussion 'Culture Change' The NFL Needs This week's ""The Second Half"" podcast talks NFL injuries and player self-diagnosis."
Health,3 Uncommon Ways to Maintain Your Real Focus,"As someone who has an insatiable desire to know and do everything, I've also come to find three insights particularly helpful. Rather than concrete actions, they serve more as mindsets or perspectives to take on all that is available to us now -- and stay centered on what truly matters to us as individuals.","3 Uncommon Ways to Maintain Your Real Focus As someone who has an insatiable desire to know and do everything, I've also come to find three insights particularly helpful. Rather than concrete actions, they serve more as mindsets or perspectives to take on all that is available to us now -- and stay centered on what truly matters to us as individuals."
Sports,NBA Let Kia Ruin The Coolest NBA Dunk Ever Proposed,The NBA would not allow Griffin to use the car of his choice for the 2011 Dunk Contest.,NBA Let Kia Ruin The Coolest NBA Dunk Ever Proposed The NBA would not allow Griffin to use the car of his choice for the 2011 Dunk Contest.
Tech,Volcanic Ash And Ancient Poop Reveal Penguins' Tragic History,Eruptions might be responsible for shrinking penguin populations.,Volcanic Ash And Ancient Poop Reveal Penguins' Tragic History Eruptions might be responsible for shrinking penguin populations.
Sports,Manchester United Dumped From FA Cup By Swansea City's Wilfried Bony (VIDEO/PHOTOS),"United was made to pay soon after, when Alejandro Pozuelo played in Routledge, who produced a delightful lob over Lindegaard","Manchester United Dumped From FA Cup By Swansea City's Wilfried Bony (VIDEO/PHOTOS) United was made to pay soon after, when Alejandro Pozuelo played in Routledge, who produced a delightful lob over Lindegaard"
Entertainment,Howard Stern Gives 'Wacko Party' Trump Fans A Brutal Election Reality Check,"The radio icon slams the ""absolutely absurd"" flaw in the system that allowed Trump to become president in the first place.","Howard Stern Gives 'Wacko Party' Trump Fans A Brutal Election Reality Check The radio icon slams the ""absolutely absurd"" flaw in the system that allowed Trump to become president in the first place."
Health,5 Ways to Live Courageously,Living courageously involves shifting our focus away from trying to remove fear to pursuing a full and meaningful life alongside of fear. Here is how you do it.,5 Ways to Live Courageously Living courageously involves shifting our focus away from trying to remove fear to pursuing a full and meaningful life alongside of fear. Here is how you do it.
Health,How To BBQ: Grill Anything Safely,Courtesy of Visual News.,How To BBQ: Grill Anything Safely Courtesy of Visual News.
Tech,Gustav Klimt 'The Kiss' Google Logo Honors Artist's 150th Birthday (PHOTO),"Google regularly honors some of the world's greatest minds with ""doodles"" displayed on the search engine's page. Google is","Gustav Klimt 'The Kiss' Google Logo Honors Artist's 150th Birthday (PHOTO) Google regularly honors some of the world's greatest minds with ""doodles"" displayed on the search engine's page. Google is"
Politics,Tuesday's Morning Email: Orlando Shooter Frequented Club Before Rampage,The FBI is determining whether he was a patron or scouting the club.,Tuesday's Morning Email: Orlando Shooter Frequented Club Before Rampage The FBI is determining whether he was a patron or scouting the club.
Business,Jerry Brown: California Needs Cuts 'Far Greater' Than Originally Expected,"California could well receive a windfall from the planned initial public offering of online social media firm Facebook, which","Jerry Brown: California Needs Cuts 'Far Greater' Than Originally Expected California could well receive a windfall from the planned initial public offering of online social media firm Facebook, which"
Tech,"Big Bear Constellation & Big Dipper Delight Skywatchers In Spring, Astronomer Says","Callisto was a veritable bear, complete with sharp teeth and claws, so Jupiter grasped her by her stubby tail. But because","Big Bear Constellation & Big Dipper Delight Skywatchers In Spring, Astronomer Says Callisto was a veritable bear, complete with sharp teeth and claws, so Jupiter grasped her by her stubby tail. But because"
Entertainment,Melissa Etheridge's French Canadian British American Spanish Ancestor,"She swiftly discovers French Canadian ancestors who were embroiled in a bitter lawsuit against a man who got their teenage daughter pregnant and refused to marry her, but there's more to the story than she first thinks.","Melissa Etheridge's French Canadian British American Spanish Ancestor She swiftly discovers French Canadian ancestors who were embroiled in a bitter lawsuit against a man who got their teenage daughter pregnant and refused to marry her, but there's more to the story than she first thinks."
Tech,8 Things We've Learned About Happiness In The Past Decade,,8 Things We've Learned About Happiness In The Past Decade 
Sports,Wimbledon Star Forced To Leave Court After Suffering Knee Injury,"""Help me, help me, please!"" Bethanie Mattek-Sands could be heard shouting.","Wimbledon Star Forced To Leave Court After Suffering Knee Injury ""Help me, help me, please!"" Bethanie Mattek-Sands could be heard shouting."
Tech,Iconic Physicist Stephen Hawking Dies At 76,"""We have this one life to appreciate the grand design of the universe,"" Hawking once remarked, ""and for that, I am extremely grateful.""","Iconic Physicist Stephen Hawking Dies At 76 ""We have this one life to appreciate the grand design of the universe,"" Hawking once remarked, ""and for that, I am extremely grateful."""
Sports,Former USC Football Player Sues NCAA Over 'Unpaid Wages',A new lawsuit claims that NCAA athletes are employees who aren't properly compensated.,Former USC Football Player Sues NCAA Over 'Unpaid Wages' A new lawsuit claims that NCAA athletes are employees who aren't properly compensated.
Entertainment,"Jimmy Fallon's Thank You Notes For Britney Spears, Chopsticks And More (VIDEO)","Jimmy Fallon wouldn't let a Friday go by without sending out his thank you notes. And for that, we're pretty thankful. Watch","Jimmy Fallon's Thank You Notes For Britney Spears, Chopsticks And More (VIDEO) Jimmy Fallon wouldn't let a Friday go by without sending out his thank you notes. And for that, we're pretty thankful. Watch"
Entertainment,Olivia Newton-John's Advice For Women Battling Cancer,"Olivia Newton-John, 68, has remained cancer-free since her 1992 diagnosis of breast cancer, but she doesn’t attribute her","Olivia Newton-John's Advice For Women Battling Cancer Olivia Newton-John, 68, has remained cancer-free since her 1992 diagnosis of breast cancer, but she doesn’t attribute her"
Health,"Omega-3 Fatty Acids May Lower Alzheimer's Risk, Study Suggests","The researchers found that the higher the consumption of the omega-3 fatty acids, the lower the beta-amyloid in the blood","Omega-3 Fatty Acids May Lower Alzheimer's Risk, Study Suggests The researchers found that the higher the consumption of the omega-3 fatty acids, the lower the beta-amyloid in the blood"
Entertainment,Mark Hamill Hints At A Potentially Huge Reveal In 'The Last Jedi',You're his only hope to not spoil it for everyone else.,Mark Hamill Hints At A Potentially Huge Reveal In 'The Last Jedi' You're his only hope to not spoil it for everyone else.
Sports,French Open Winner!,,French Open Winner! 
Business,Beware Capitalist Tools,My modest suggestion that governments become the agents of their citizens in bargaining with global capital should hardly raise an eyebrow. But capitalist tools are acting worried that average citizens may be starting to see what's really going on.,Beware Capitalist Tools My modest suggestion that governments become the agents of their citizens in bargaining with global capital should hardly raise an eyebrow. But capitalist tools are acting worried that average citizens may be starting to see what's really going on.
Sports,NBA Forward Cleanthony Early Shot In Robbery,This is the second time that a Knicks player has been robbed in two weeks.,NBA Forward Cleanthony Early Shot In Robbery This is the second time that a Knicks player has been robbed in two weeks.
Sports,Phillie Phanatic Is Back! Team Mascot Settles Legal Dispute,"“We welcome the original Phillie Phanatic back with open arms,” Phillies executive vice president David Buck said Tuesday.","Phillie Phanatic Is Back! Team Mascot Settles Legal Dispute “We welcome the original Phillie Phanatic back with open arms,” Phillies executive vice president David Buck said Tuesday."
Tech,Adorable Panda Cub Bei Bei Makes A Very Sleepy Public Debut,"Nap time, all the time.","Adorable Panda Cub Bei Bei Makes A Very Sleepy Public Debut Nap time, all the time."
Sports,Fan Dies After Fall From Upper Deck At Atlanta Braves Game,The fatal fall is the stadium's third in seven years.,Fan Dies After Fall From Upper Deck At Atlanta Braves Game The fatal fall is the stadium's third in seven years.
Tech,"'Peking Man' Was Sophisticated & Meticulous About Clothing, Artifacts Suggest","Perhaps the strangest finding was evidence for ""drilling."" Shen explained they don't know what the hominids were drilling","'Peking Man' Was Sophisticated & Meticulous About Clothing, Artifacts Suggest Perhaps the strangest finding was evidence for ""drilling."" Shen explained they don't know what the hominids were drilling"
Tech,Ancient Flying Beast Named After 'Avatar' Creature,,Ancient Flying Beast Named After 'Avatar' Creature 
Tech,Microsoft Launches Office 2016,It requires Windows 7 or later.,Microsoft Launches Office 2016 It requires Windows 7 or later.
Business,Irrational Markets Or Irrational Individuals? Designing 'Smart' Environments Improve Decision-Making and Make Markets More Efficient,"How can markets be made efficient when people aren't? Apparent market failures are often attributed to individuals making apparent 'irrational' decisions. However, I argue that markets can be made more efficient when creating environments for individuals that aid their decision-making.","Irrational Markets Or Irrational Individuals? Designing 'Smart' Environments Improve Decision-Making and Make Markets More Efficient How can markets be made efficient when people aren't? Apparent market failures are often attributed to individuals making apparent 'irrational' decisions. However, I argue that markets can be made more efficient when creating environments for individuals that aid their decision-making."
